start_time,away_team,home_team,away_team_score,home_team_score
2021-01-07 00:00:00+00:00,CLEVELAND CAVALIERS,ORLANDO MAGIC,94,105
2021-01-07 00:00:00+00:00,WASHINGTON WIZARDS,PHILADELPHIA 76ERS,136,141
2021-01-07 00:30:00+00:00,CHARLOTTE HORNETS,ATLANTA HAWKS,102,94
2021-01-07 00:30:00+00:00,BOSTON CELTICS,MIAMI HEAT,107,105
2021-01-07 00:30:00+00:00,UTAH JAZZ,NEW YORK KNICKS,100,112
2021-01-07 01:00:00+00:00,DETROIT PISTONS,MILWAUKEE BUCKS,115,130
2021-01-07 01:00:00+00:00,OKLAHOMA CITY THUNDER,NEW ORLEANS PELICANS,111,110
2021-01-07 02:00:00+00:00,TORONTO RAPTORS,PHOENIX SUNS,115,123
2021-01-07 03:00:00+00:00,LOS ANGELES CLIPPERS,GOLDEN STATE WARRIORS,108,101
2021-01-07 03:00:00+00:00,CHICAGO BULLS,SACRAMENTO KINGS,124,128
2021-01-08 00:30:00+00:00,PHILADELPHIA 76ERS,BROOKLYN NETS,109,122
2021-01-08 01:00:00+00:00,CLEVELAND CAVALIERS,MEMPHIS GRIZZLIES,94,90
2021-01-08 03:00:00+00:00,DALLAS MAVERICKS,DENVER NUGGETS,124,117
2021-01-08 03:00:00+00:00,SAN ANTONIO SPURS,LOS ANGELES LAKERS,118,109
2021-01-08 03:00:00+00:00,MINNESOTA TIMBERWOLVES,PORTLAND TRAIL BLAZERS,117,135
2021-01-09 00:00:00+00:00,PHOENIX SUNS,DETROIT PISTONS,105,110
2021-01-09 00:30:00+00:00,WASHINGTON WIZARDS,BOSTON CELTICS,107,116
2021-01-09 00:30:00+00:00,CHARLOTTE HORNETS,NEW ORLEANS PELICANS,118,110
2021-01-09 00:30:00+00:00,OKLAHOMA CITY THUNDER,NEW YORK KNICKS,101,89
2021-01-09 01:00:00+00:00,ORLANDO MAGIC,HOUSTON ROCKETS,90,132
2021-01-09 01:00:00+00:00,BROOKLYN NETS,MEMPHIS GRIZZLIES,110,115
2021-01-09 01:00:00+00:00,UTAH JAZZ,MILWAUKEE BUCKS,131,118
2021-01-09 03:00:00+00:00,LOS ANGELES CLIPPERS,GOLDEN STATE WARRIORS,105,115
2021-01-09 03:00:00+00:00,CHICAGO BULLS,LOS ANGELES LAKERS,115,117
2021-01-09 03:00:00+00:00,TORONTO RAPTORS,SACRAMENTO KINGS,144,123
2021-01-09 20:00:00+00:00,DENVER NUGGETS,PHILADELPHIA 76ERS,115,103
2021-01-10 00:00:00+00:00,ATLANTA HAWKS,CHARLOTTE HORNETS,105,113
2021-01-10 00:00:00+00:00,PHOENIX SUNS,INDIANA PACERS,125,117
2021-01-10 00:00:00+00:00,MIAMI HEAT,WASHINGTON WIZARDS,128,124
2021-01-10 01:00:00+00:00,CLEVELAND CAVALIERS,MILWAUKEE BUCKS,90,100
2021-01-10 01:00:00+00:00,SAN ANTONIO SPURS,MINNESOTA TIMBERWOLVES,125,122
2021-01-10 01:30:00+00:00,ORLANDO MAGIC,DALLAS MAVERICKS,98,112
2021-01-10 03:00:00+00:00,PORTLAND TRAIL BLAZERS,SACRAMENTO KINGS,125,99
2021-01-10 20:00:00+00:00,UTAH JAZZ,DETROIT PISTONS,96,86
2021-01-10 21:00:00+00:00,CHICAGO BULLS,LOS ANGELES CLIPPERS,127,130
2021-01-10 23:00:00+00:00,OKLAHOMA CITY THUNDER,BROOKLYN NETS,129,116
2021-01-10 23:00:00+00:00,DENVER NUGGETS,NEW YORK KNICKS,114,89
2021-01-11 00:00:00+00:00,LOS ANGELES LAKERS,HOUSTON ROCKETS,120,102
2021-01-11 01:00:00+00:00,SAN ANTONIO SPURS,MINNESOTA TIMBERWOLVES,88,96
2021-01-11 01:30:00+00:00,TORONTO RAPTORS,GOLDEN STATE WARRIORS,105,106
2021-01-12 00:00:00+00:00,NEW YORK KNICKS,CHARLOTTE HORNETS,88,109
2021-01-12 00:00:00+00:00,MEMPHIS GRIZZLIES,CLEVELAND CAVALIERS,101,91
2021-01-12 00:00:00+00:00,MILWAUKEE BUCKS,ORLANDO MAGIC,121,99
2021-01-12 00:00:00+00:00,PHOENIX SUNS,WASHINGTON WIZARDS,107,128
2021-01-12 00:30:00+00:00,PHILADELPHIA 76ERS,ATLANTA HAWKS,94,112
2021-01-12 03:00:00+00:00,TORONTO RAPTORS,PORTLAND TRAIL BLAZERS,111,112
2021-01-12 03:00:00+00:00,INDIANA PACERS,SACRAMENTO KINGS,122,127
2021-01-13 00:00:00+00:00,MIAMI HEAT,PHILADELPHIA 76ERS,134,137
2021-01-13 00:30:00+00:00,DENVER NUGGETS,BROOKLYN NETS,116,122
2021-01-13 00:30:00+00:00,UTAH JAZZ,CLEVELAND CAVALIERS,117,87
2021-01-13 01:00:00+00:00,LOS ANGELES LAKERS,HOUSTON ROCKETS,117,100
2021-01-13 01:00:00+00:00,SAN ANTONIO SPURS,OKLAHOMA CITY THUNDER,112,102
2021-01-13 03:30:00+00:00,INDIANA PACERS,GOLDEN STATE WARRIORS,104,95
2021-01-14 00:00:00+00:00,DALLAS MAVERICKS,CHARLOTTE HORNETS,104,93
2021-01-14 00:00:00+00:00,MILWAUKEE BUCKS,DETROIT PISTONS,110,101
2021-01-14 00:30:00+00:00,BROOKLYN NETS,NEW YORK KNICKS,116,109
2021-01-14 01:00:00+00:00,MEMPHIS GRIZZLIES,MINNESOTA TIMBERWOLVES,118,107
2021-01-14 01:00:00+00:00,LOS ANGELES LAKERS,OKLAHOMA CITY THUNDER,128,99
2021-01-14 03:00:00+00:00,NEW ORLEANS PELICANS,LOS ANGELES CLIPPERS,106,111
2021-01-14 03:00:00+00:00,PORTLAND TRAIL BLAZERS,SACRAMENTO KINGS,132,126
2021-01-15 00:00:00+00:00,MIAMI HEAT,PHILADELPHIA 76ERS,108,125
2021-01-15 00:30:00+00:00,HOUSTON ROCKETS,SAN ANTONIO SPURS,109,105
2021-01-15 00:30:00+00:00,CHARLOTTE HORNETS,TORONTO RAPTORS,108,111
2021-01-15 03:00:00+00:00,GOLDEN STATE WARRIORS,DENVER NUGGETS,104,114
2021-01-15 03:00:00+00:00,INDIANA PACERS,PORTLAND TRAIL BLAZERS,111,87
2021-01-16 00:30:00+00:00,ORLANDO MAGIC,BOSTON CELTICS,97,124
2021-01-16 00:30:00+00:00,NEW YORK KNICKS,CLEVELAND CAVALIERS,103,106
2021-01-16 00:30:00+00:00,DALLAS MAVERICKS,MILWAUKEE BUCKS,109,112
2021-01-16 01:00:00+00:00,CHICAGO BULLS,OKLAHOMA CITY THUNDER,125,127
2021-01-16 02:00:00+00:00,ATLANTA HAWKS,UTAH JAZZ,92,116
2021-01-16 03:00:00+00:00,NEW ORLEANS PELICANS,LOS ANGELES LAKERS,95,112
2021-01-16 03:00:00+00:00,LOS ANGELES CLIPPERS,SACRAMENTO KINGS,138,100
2021-01-16 22:00:00+00:00,HOUSTON ROCKETS,SAN ANTONIO SPURS,91,103
2021-01-16 23:00:00+00:00,ORLANDO MAGIC,BROOKLYN NETS,115,122
2021-01-17 00:30:00+00:00,CHARLOTTE HORNETS,TORONTO RAPTORS,113,116
2021-01-17 01:00:00+00:00,PHILADELPHIA 76ERS,MEMPHIS GRIZZLIES,104,106
2021-01-17 01:00:00+00:00,DETROIT PISTONS,MIAMI HEAT,120,100
2021-01-17 03:00:00+00:00,ATLANTA HAWKS,PORTLAND TRAIL BLAZERS,106,112
2021-01-17 18:00:00+00:00,NEW YORK KNICKS,BOSTON CELTICS,105,75
2021-01-17 20:00:00+00:00,CHICAGO BULLS,DALLAS MAVERICKS,117,101
2021-01-18 01:00:00+00:00,UTAH JAZZ,DENVER NUGGETS,109,105
2021-01-18 02:00:00+00:00,NEW ORLEANS PELICANS,SACRAMENTO KINGS,128,123
2021-01-18 03:00:00+00:00,INDIANA PACERS,LOS ANGELES CLIPPERS,96,129
2021-01-18 17:00:00+00:00,ORLANDO MAGIC,NEW YORK KNICKS,84,91
2021-01-18 19:30:00+00:00,MINNESOTA TIMBERWOLVES,ATLANTA HAWKS,97,108
2021-01-18 20:00:00+00:00,SAN ANTONIO SPURS,PORTLAND TRAIL BLAZERS,125,104
2021-01-18 22:00:00+00:00,PHOENIX SUNS,MEMPHIS GRIZZLIES,104,108
2021-01-19 00:30:00+00:00,MILWAUKEE BUCKS,BROOKLYN NETS,123,125
2021-01-19 00:30:00+00:00,DALLAS MAVERICKS,TORONTO RAPTORS,93,116
2021-01-19 01:00:00+00:00,HOUSTON ROCKETS,CHICAGO BULLS,120,125
2021-01-19 01:00:00+00:00,DETROIT PISTONS,MIAMI HEAT,107,113
2021-01-19 03:00:00+00:00,GOLDEN STATE WARRIORS,LOS ANGELES LAKERS,115,113
2021-01-20 02:00:00+00:00,OKLAHOMA CITY THUNDER,DENVER NUGGETS,101,119
2021-01-20 02:00:00+00:00,NEW ORLEANS PELICANS,UTAH JAZZ,102,118
2021-01-21 00:00:00+00:00,BROOKLYN NETS,CLEVELAND CAVALIERS,135,147
2021-01-21 00:00:00+00:00,DALLAS MAVERICKS,INDIANA PACERS,124,112
2021-01-21 00:00:00+00:00,BOSTON CELTICS,PHILADELPHIA 76ERS,109,117
2021-01-21 00:30:00+00:00,DETROIT PISTONS,ATLANTA HAWKS,115,123
2021-01-21 00:30:00+00:00,MIAMI HEAT,TORONTO RAPTORS,111,102
2021-01-21 01:00:00+00:00,ORLANDO MAGIC,MINNESOTA TIMBERWOLVES,97,96
2021-01-21 02:30:00+00:00,PHOENIX SUNS,HOUSTON ROCKETS,109,103
2021-01-21 03:00:00+00:00,SAN ANTONIO SPURS,GOLDEN STATE WARRIORS,99,121
2021-01-21 03:00:00+00:00,SACRAMENTO KINGS,LOS ANGELES CLIPPERS,96,115
2021-01-22 00:30:00+00:00,LOS ANGELES LAKERS,MILWAUKEE BUCKS,113,106
2021-01-22 03:00:00+00:00,NEW YORK KNICKS,GOLDEN STATE WARRIORS,119,104
2021-01-22 03:00:00+00:00,NEW ORLEANS PELICANS,UTAH JAZZ,118,129
2021-01-23 00:00:00+00:00,CHICAGO BULLS,CHARLOTTE HORNETS,123,110
2021-01-23 00:00:00+00:00,HOUSTON ROCKETS,DETROIT PISTONS,103,102
2021-01-23 00:00:00+00:00,ORLANDO MAGIC,INDIANA PACERS,118,120
2021-01-23 00:30:00+00:00,BROOKLYN NETS,CLEVELAND CAVALIERS,113,125
2021-01-23 00:30:00+00:00,BOSTON CELTICS,PHILADELPHIA 76ERS,110,122
2021-01-23 00:30:00+00:00,MIAMI HEAT,TORONTO RAPTORS,81,101
2021-01-23 01:00:00+00:00,ATLANTA HAWKS,MINNESOTA TIMBERWOLVES,116,98
2021-01-23 01:30:00+00:00,DALLAS MAVERICKS,SAN ANTONIO SPURS,122,117
2021-01-23 03:00:00+00:00,OKLAHOMA CITY THUNDER,LOS ANGELES CLIPPERS,106,120
2021-01-23 03:00:00+00:00,DENVER NUGGETS,PHOENIX SUNS,130,126
2021-01-23 03:00:00+00:00,NEW YORK KNICKS,SACRAMENTO KINGS,94,103
2021-01-24 01:00:00+00:00,MIAMI HEAT,BROOKLYN NETS,124,128
2021-01-24 01:00:00+00:00,PHILADELPHIA 76ERS,DETROIT PISTONS,114,110
2021-01-24 01:00:00+00:00,NEW ORLEANS PELICANS,MINNESOTA TIMBERWOLVES,110,120
2021-01-24 02:00:00+00:00,LOS ANGELES LAKERS,CHICAGO BULLS,101,90
2021-01-24 02:00:00+00:00,HOUSTON ROCKETS,DALLAS MAVERICKS,133,108
2021-01-24 02:00:00+00:00,DENVER NUGGETS,PHOENIX SUNS,120,112
2021-01-24 02:00:00+00:00,GOLDEN STATE WARRIORS,UTAH JAZZ,108,127
2021-01-24 18:00:00+00:00,TORONTO RAPTORS,INDIANA PACERS,107,102
2021-01-24 21:00:00+00:00,OKLAHOMA CITY THUNDER,LOS ANGELES CLIPPERS,100,108
2021-01-25 00:00:00+00:00,CLEVELAND CAVALIERS,BOSTON CELTICS,103,141
2021-01-25 00:00:00+00:00,CHARLOTTE HORNETS,ORLANDO MAGIC,107,104
2021-01-25 01:00:00+00:00,ATLANTA HAWKS,MILWAUKEE BUCKS,115,129
2021-01-25 01:00:00+00:00,WASHINGTON WIZARDS,SAN ANTONIO SPURS,101,121
2021-01-25 03:00:00+00:00,NEW YORK KNICKS,PORTLAND TRAIL BLAZERS,113,116
2021-01-26 00:00:00+00:00,PHILADELPHIA 76ERS,DETROIT PISTONS,104,119
2021-01-26 00:00:00+00:00,TORONTO RAPTORS,INDIANA PACERS,114,129
2021-01-26 00:00:00+00:00,CHARLOTTE HORNETS,ORLANDO MAGIC,108,117
2021-01-26 00:30:00+00:00,MIAMI HEAT,BROOKLYN NETS,85,98
2021-01-26 01:00:00+00:00,LOS ANGELES LAKERS,CLEVELAND CAVALIERS,115,108
2021-01-26 01:30:00+00:00,DENVER NUGGETS,DALLAS MAVERICKS,117,113
2021-01-26 02:00:00+00:00,BOSTON CELTICS,CHICAGO BULLS,119,103
2021-01-26 03:00:00+00:00,MINNESOTA TIMBERWOLVES,GOLDEN STATE WARRIORS,108,130
2021-01-26 03:00:00+00:00,OKLAHOMA CITY THUNDER,PORTLAND TRAIL BLAZERS,125,122
2021-01-27 00:30:00+00:00,LOS ANGELES CLIPPERS,ATLANTA HAWKS,99,108
2021-01-27 01:00:00+00:00,WASHINGTON WIZARDS,HOUSTON ROCKETS,88,107
2021-01-27 02:00:00+00:00,NEW YORK KNICKS,UTAH JAZZ,94,108
2021-01-28 00:00:00+00:00,INDIANA PACERS,CHARLOTTE HORNETS,116,106
2021-01-28 00:00:00+00:00,DETROIT PISTONS,CLEVELAND CAVALIERS,107,122
2021-01-28 00:00:00+00:00,SACRAMENTO KINGS,ORLANDO MAGIC,121,107
2021-01-28 00:30:00+00:00,BROOKLYN NETS,ATLANTA HAWKS,132,128
2021-01-28 00:30:00+00:00,DENVER NUGGETS,MIAMI HEAT,109,82
2021-01-28 00:30:00+00:00,LOS ANGELES LAKERS,PHILADELPHIA 76ERS,106,107
2021-01-28 00:30:00+00:00,MILWAUKEE BUCKS,TORONTO RAPTORS,115,108
2021-01-28 01:30:00+00:00,BOSTON CELTICS,SAN ANTONIO SPURS,106,110
2021-01-28 02:00:00+00:00,WASHINGTON WIZARDS,NEW ORLEANS PELICANS,106,124
2021-01-28 02:00:00+00:00,OKLAHOMA CITY THUNDER,PHOENIX SUNS,102,97
2021-01-28 02:00:00+00:00,DALLAS MAVERICKS,UTAH JAZZ,104,116
2021-01-28 03:00:00+00:00,MINNESOTA TIMBERWOLVES,GOLDEN STATE WARRIORS,111,123
