slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
abrinal01,Álex Abrines,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25,OKLAHOMA CITY THUNDER,31,2,588,56,157,41,127,12,13,5,43,20,17,6,14,53,165
acyqu01,Quincy Acy,[<Position.POWER_FORWARD: 'POWER FORWARD'>],28,PHOENIX SUNS,10,0,123,4,18,2,15,7,10,3,22,8,1,4,4,24,17
adamsja01,Jaylen Adams,[<Position.POINT_GUARD: 'POINT GUARD'>],22,ATLANTA HAWKS,34,1,428,38,110,25,74,7,9,11,49,65,14,5,28,45,108
adamsst01,Steven Adams,[<Position.CENTER: 'CENTER'>],25,OKLAHOMA CITY THUNDER,80,80,2669,481,809,0,2,146,292,391,369,124,117,76,135,204,1108
adebaba01,Bam Adebayo,[<Position.CENTER: 'CENTER'>],21,MIAMI HEAT,82,28,1913,280,486,3,15,166,226,165,432,184,71,65,121,203,729
adelde01,Deng Adel,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21,CLEVELAND CAVALIERS,19,3,194,11,36,6,23,4,4,3,16,5,1,4,6,13,32
akoonde01,DeVaughn Akoon-Purcell,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25,DENVER NUGGETS,7,0,22,3,10,0,4,1,2,1,3,6,2,0,2,4,7
aldrila01,LaMarcus Aldridge,[<Position.CENTER: 'CENTER'>],33,SAN ANTONIO SPURS,81,81,2687,684,1319,10,42,349,412,251,493,194,43,107,144,179,1727
alkinra01,Rawle Alkins,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21,CHICAGO BULLS,10,1,120,13,39,3,12,8,12,11,15,13,1,0,8,7,37
allengr01,Grayson Allen,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23,UTAH JAZZ,38,2,416,67,178,32,99,45,60,3,20,25,6,6,33,47,211
allenja01,Jarrett Allen,[<Position.CENTER: 'CENTER'>],20,BROOKLYN NETS,80,80,2096,335,568,6,45,197,278,191,481,110,43,120,103,184,873
allenka01,Kadeem Allen,[<Position.POINT_GUARD: 'POINT GUARD'>],26,NEW YORK KNICKS,19,1,416,65,141,17,36,42,54,8,43,76,16,4,26,46,189
