start_time,away_team,home_team,away_team_score,home_team_score
2019-11-09 01:00:00+00:00,TORONTO RAPTORS,NEW ORLEANS PELICANS,122,104
2019-11-09 01:30:00+00:00,NEW YORK KNICKS,DALLAS MAVERICKS,106,102
2019-11-09 02:00:00+00:00,PHILADELPHIA 76ERS,DENVER NUGGETS,97,100
2019-11-09 02:00:00+00:00,MILWAUKEE BUCKS,UTAH JAZZ,100,103
2019-11-09 03:00:00+00:00,BROOKLYN NETS,PORTLAND TRAIL BLAZERS,119,115
2019-11-09 03:30:00+00:00,MIAMI HEAT,LOS ANGELES LAKERS,80,95
2019-11-09 22:00:00+00:00,BOSTON CELTICS,SAN ANTONIO SPURS,135,115
2019-11-10 00:00:00+00:00,NEW ORLEANS PELICANS,CHARLOTTE HORNETS,115,110
2019-11-10 01:00:00+00:00,HOUSTON ROCKETS,CHICAGO BULLS,117,94
2019-11-10 01:00:00+00:00,DALLAS MAVERICKS,MEMPHIS GRIZZLIES,138,122
2019-11-10 01:00:00+00:00,GOLDEN STATE WARRIORS,OKLAHOMA CITY THUNDER,108,114
2019-11-10 20:30:00+00:00,DENVER NUGGETS,MINNESOTA TIMBERWOLVES,100,98
2019-11-10 23:00:00+00:00,INDIANA PACERS,ORLANDO MAGIC,109,102
2019-11-10 23:00:00+00:00,CHARLOTTE HORNETS,PHILADELPHIA 76ERS,106,114
2019-11-11 00:00:00+00:00,MILWAUKEE BUCKS,OKLAHOMA CITY THUNDER,121,119
2019-11-11 00:30:00+00:00,CLEVELAND CAVALIERS,NEW YORK KNICKS,108,87
2019-11-11 01:00:00+00:00,BROOKLYN NETS,PHOENIX SUNS,112,138
2019-11-11 02:00:00+00:00,ATLANTA HAWKS,PORTLAND TRAIL BLAZERS,113,124
2019-11-11 02:30:00+00:00,TORONTO RAPTORS,LOS ANGELES LAKERS,113,104
2019-11-12 00:00:00+00:00,MINNESOTA TIMBERWOLVES,DETROIT PISTONS,120,114
2019-11-12 00:30:00+00:00,DALLAS MAVERICKS,BOSTON CELTICS,106,116
2019-11-12 00:30:00+00:00,MEMPHIS GRIZZLIES,SAN ANTONIO SPURS,113,109
2019-11-12 01:00:00+00:00,HOUSTON ROCKETS,NEW ORLEANS PELICANS,122,116
2019-11-12 03:30:00+00:00,UTAH JAZZ,GOLDEN STATE WARRIORS,122,108
2019-11-12 03:30:00+00:00,TORONTO RAPTORS,LOS ANGELES CLIPPERS,88,98
2019-11-13 00:00:00+00:00,OKLAHOMA CITY THUNDER,INDIANA PACERS,85,111
2019-11-13 00:00:00+00:00,CLEVELAND CAVALIERS,PHILADELPHIA 76ERS,97,98
2019-11-13 00:30:00+00:00,DETROIT PISTONS,MIAMI HEAT,108,117
2019-11-13 01:00:00+00:00,NEW YORK KNICKS,CHICAGO BULLS,102,120
2019-11-13 02:00:00+00:00,ATLANTA HAWKS,DENVER NUGGETS,125,121
2019-11-13 02:00:00+00:00,LOS ANGELES LAKERS,PHOENIX SUNS,123,115
2019-11-13 02:00:00+00:00,BROOKLYN NETS,UTAH JAZZ,114,119
2019-11-13 03:00:00+00:00,PORTLAND TRAIL BLAZERS,SACRAMENTO KINGS,99,107
2019-11-14 00:00:00+00:00,MEMPHIS GRIZZLIES,CHARLOTTE HORNETS,119,117
2019-11-14 00:00:00+00:00,PHILADELPHIA 76ERS,ORLANDO MAGIC,97,112
2019-11-14 00:30:00+00:00,WASHINGTON WIZARDS,BOSTON CELTICS,133,140
2019-11-14 00:30:00+00:00,LOS ANGELES CLIPPERS,HOUSTON ROCKETS,93,102
2019-11-14 01:00:00+00:00,SAN ANTONIO SPURS,MINNESOTA TIMBERWOLVES,114,129
2019-11-14 03:00:00+00:00,GOLDEN STATE WARRIORS,LOS ANGELES LAKERS,94,120
2019-11-14 03:00:00+00:00,TORONTO RAPTORS,PORTLAND TRAIL BLAZERS,114,106
2019-11-14 23:00:00+00:00,MIAMI HEAT,CLEVELAND CAVALIERS,108,97
2019-11-15 01:00:00+00:00,CHICAGO BULLS,MILWAUKEE BUCKS,115,124
2019-11-15 01:00:00+00:00,LOS ANGELES CLIPPERS,NEW ORLEANS PELICANS,127,132
2019-11-15 01:00:00+00:00,DALLAS MAVERICKS,NEW YORK KNICKS,103,106
2019-11-15 02:00:00+00:00,ATLANTA HAWKS,PHOENIX SUNS,112,128
2019-11-15 03:30:00+00:00,BROOKLYN NETS,DENVER NUGGETS,93,101
2019-11-16 00:00:00+00:00,DETROIT PISTONS,CHARLOTTE HORNETS,106,109
2019-11-16 00:00:00+00:00,SAN ANTONIO SPURS,ORLANDO MAGIC,109,111
2019-11-16 01:00:00+00:00,INDIANA PACERS,HOUSTON ROCKETS,102,111
2019-11-16 01:00:00+00:00,UTAH JAZZ,MEMPHIS GRIZZLIES,106,107
2019-11-16 01:00:00+00:00,WASHINGTON WIZARDS,MINNESOTA TIMBERWOLVES,137,116
2019-11-16 01:00:00+00:00,PHILADELPHIA 76ERS,OKLAHOMA CITY THUNDER,119,127
2019-11-16 03:30:00+00:00,BOSTON CELTICS,GOLDEN STATE WARRIORS,105,100
2019-11-16 03:30:00+00:00,SACRAMENTO KINGS,LOS ANGELES LAKERS,97,99
2019-11-16 23:00:00+00:00,BROOKLYN NETS,CHICAGO BULLS,117,111
2019-11-17 00:00:00+00:00,MILWAUKEE BUCKS,INDIANA PACERS,102,83
2019-11-17 00:30:00+00:00,CHARLOTTE HORNETS,NEW YORK KNICKS,103,102
2019-11-17 01:00:00+00:00,NEW ORLEANS PELICANS,MIAMI HEAT,94,109
2019-11-17 01:00:00+00:00,HOUSTON ROCKETS,MINNESOTA TIMBERWOLVES,125,105
2019-11-17 01:30:00+00:00,TORONTO RAPTORS,DALLAS MAVERICKS,102,110
2019-11-17 01:30:00+00:00,PORTLAND TRAIL BLAZERS,SAN ANTONIO SPURS,121,116
2019-11-17 03:30:00+00:00,ATLANTA HAWKS,LOS ANGELES CLIPPERS,101,150
2019-11-17 20:00:00+00:00,PHILADELPHIA 76ERS,CLEVELAND CAVALIERS,114,95
2019-11-17 20:30:00+00:00,BOSTON CELTICS,SACRAMENTO KINGS,99,100
2019-11-17 23:00:00+00:00,DENVER NUGGETS,MEMPHIS GRIZZLIES,131,114
2019-11-17 23:00:00+00:00,WASHINGTON WIZARDS,ORLANDO MAGIC,121,125
2019-11-18 00:00:00+00:00,GOLDEN STATE WARRIORS,NEW ORLEANS PELICANS,100,108
2019-11-18 02:30:00+00:00,ATLANTA HAWKS,LOS ANGELES LAKERS,101,122
2019-11-19 00:00:00+00:00,CLEVELAND CAVALIERS,NEW YORK KNICKS,105,123
